,car_type,location,brand,model,version,year,fuel_type,transmission_type,distance_driven,price
138,-,Chennai,Maruti,Swift Dzire,VDI,2014,Diesel,Manual,"72,628 kms",5.1 Lakh
139,-,Chennai,Honda,Brio,EX MT,2013,Petrol,Manual,"55,001 kms",3.7 Lakh
140,-,Chennai,Maruti,Swift,LXI Option,2015,Petrol,Manual,"41,000 kms",4.75 Lakh
141,-,Chennai,Jeep,Compass,1.4 Limited Plus BSIV,2019,Petrol,Automatic,"24,100 kms",21.9 Lakh
142,-,Chennai,Mahindra,XUV500,W11 Option,2020,Diesel,Manual,"5,000 kms",19.75 Lakh
143,-,Chennai,Maruti,Vitara Brezza,ZDi Plus Dual Tone,2019,Diesel,Manual,"14,502 kms",11.5 Lakh
144,-,Chennai,BMW,3 Series,320d Sport Line,2015,Diesel,Automatic,"28,000 kms",27.5 Lakh
145,-,Chennai,Hyundai,i10,Sportz AT,2014,Petrol,Automatic,"62,000 kms",2.95 Lakh
146,-,Chennai,Chevrolet,Spark,1.0 LT,2008,Petrol,Manual,"53,000 kms",1.1 Lakh
147,-,Chennai,Mahindra,Scorpio,LX,2012,Diesel,Manual,"1,11,100 kms",5.8 Lakh
148,-,Chennai,Maruti,Eeco,5 Seater AC,2013,Petrol,Manual,"70,000 kms",2.9 Lakh
149,-,Chennai,Maruti,Zen Estilo,VXI BSIV,2011,Petrol,Manual,"82,359 kms",2.1 Lakh
150,-,Chennai,Honda,Amaze,SX i-DTEC,2014,Diesel,Manual,"70,287 kms",4.3 Lakh
151,-,Chennai,Maruti,Baleno,1.3 Delta,2018,Diesel,Manual,"62,037 kms",6.8 Lakh
152,-,Chennai,Honda,WR-V,i-DTEC VX,2018,Diesel,Manual,"67,000 kms",7.8 Lakh
153,-,Chennai,Mahindra,Quanto,C8,2012,Diesel,Manual,"370,000 kms",3.7 Lakh
154,-,Chennai,Hyundai,i10,Sportz,2008,Petrol,Manual,"52,000 kms",2.4 Lakh
155,-,Chennai,Nissan,Micra Active,XV,2014,Petrol,Manual,"58,231 kms",3.3 Lakh
156,-,Chennai,Toyota,Fortuner,4x4 MT,2016,Diesel,Manual,"75,500 kms",21.5 Lakh
157,-,Chennai,Maruti,Ciaz,VDI SHVS,2016,Diesel,Manual,"48,000 kms",6.9 Lakh
158,-,Chennai,Maruti,Wagon R,LX,2006,Petrol,Manual,"68,659 kms",1.2 Lakh
159,-,Chennai,Mercedes-Benz,New C-Class,C 220CDIBE Avantgarde Command,2015,Diesel,Automatic,"43,000 kms",23 Lakh
160,-,Chennai,Maruti,Alto 800,LXI,2013,Petrol,Manual,"9,000 kms",2.75 Lakh
161,-,Chennai,Maruti,Swift Dzire,VXI,2013,Petrol,Manual,"44,000 kms",4.95 Lakh
162,-,Chennai,Honda,City,1.5 S MT,2011,Petrol,Manual,"75,000 kms",4.6 Lakh
163,-,Chennai,Maruti,Wagon R,VXI AMT,2017,Petrol,Automatic,"37,001 kms",4.65 Lakh
164,-,Chennai,Mahindra,NuvoSport,N4,2016,Diesel,Manual,"49,000 kms",5.9 Lakh
165,-,Chennai,Hyundai,EON,Era Plus Option,2016,Petrol,Manual,"13,000 kms",3.7 Lakh
166,-,Chennai,Toyota,Innova Crysta,2.4 VX MT 8S BSIV,2016,Diesel,Manual,"78,000 kms",17.1 Lakh
167,-,Chennai,Ford,Ecosport,1.5 DV5 MT Titanium,2014,Diesel,Manual,"58,001 kms",5.55 Lakh
168,-,Chennai,Honda,City,i-VTEC V,2018,Petrol,Manual,"48,000 kms",9.1 Lakh
169,-,Chennai,Volkswagen,Polo,1.2 MPI Highline,2015,Petrol,Manual,"80,988 kms",4.4 Lakh
170,-,Chennai,Maruti,Celerio,ZXI Optional,2017,Petrol,Manual,"86,500 kms",4.22 Lakh
171,-,Chennai,Maruti,Ertiga,ZXI,2013,Petrol,Manual,"80,000 kms",6.25 Lakh
172,-,Chennai,Maruti,Ertiga,VXI,2013,Petrol,Manual,"84,000 kms",6.3 Lakh
